transition,k,singular_value,normalized
L28_to_L29,25,16653.16796875,0.0004439418844413012
L28_to_L29,26,16138.2275390625,0.000430214568041265
L28_to_L29,27,15154.2109375,0.00040398252895101905
L28_to_L29,28,14644.591796875,0.00039039706462062895
L28_to_L29,29,13687.7705078125,0.0003648900310508907
L28_to_L29,30,13187.375,0.0003515504358801991
L28_to_L29,31,12712.49609375,0.00033889105543494225
L28_to_L29,32,12491.6337890625,0.0003330032923258841
L28_to_L29,33,11426.9931640625,0.00030462199356406927
L28_to_L29,34,11347.8154296875,0.0003025112673640251
L28_to_L29,35,11123.9873046875,0.00029654442914761603
L28_to_L29,36,10374.3955078125,0.0002765617100521922
L28_to_L29,37,9806.5595703125,0.0002614242839626968
L28_to_L29,38,9358.2080078125,0.00024947209749370813
L28_to_L29,39,8774.0439453125,0.00023389937996398658
L28_to_L29,40,8538.17578125,0.00022761158470530063
L28_to_L29,41,8297.2978515625,0.00022119023196864873
L28_to_L29,42,8158.8720703125,0.0002175000699935481
L28_to_L29,43,8116.22412109375,0.00021636315796058625
L28_to_L29,44,7906.5810546875,0.0002107744658133015
L28_to_L29,45,7645.93408203125,0.0002038261154666543
L28_to_L29,46,7312.3330078125,0.00019493294530548155
L28_to_L29,47,7267.20703125,0.00019372996757738292
L28_to_L29,48,7161.39990234375,0.00019090935529675335
L28_to_L29,49,6929.26220703125,0.00018472099327482283
L28_to_L29,50,6856.12939453125,0.0001827714149840176
L28_to_L29,51,6826.40087890625,0.00018197890312876552
L28_to_L29,52,6520.88525390625,0.00017383444355800748
L28_to_L29,53,6382.576171875,0.00017014738114085048
L28_to_L29,54,6213.44775390625,0.00016563874669373035
L28_to_L29,55,6151.443359375,0.00016398582374677062
L28_to_L29,56,6077.94189453125,0.00016202640836127102
L28_to_L29,57,5963.54052734375,0.00015897669072728604
L28_to_L29,58,5770.16552734375,0.00015382167475763708
L28_to_L29,59,5619.45263671875,0.00014980396372266114
L28_to_L29,60,5490.4052734375,0.00014636380365118384
L28_to_L29,61,5413.51953125,0.00014431416639126837
L28_to_L29,62,5280.74853515625,0.0001407747477060184
L28_to_L29,63,5216.96630859375,0.00013907442917115986
L28_to_L29,64,5114.75732421875,0.00013634974311571568
L28_to_L29,65,5085.5576171875,0.00013557133206631988
L28_to_L29,66,4904.82568359375,0.00013075335300527513
L28_to_L29,67,4846.28125,0.00012919267464894801
L28_to_L29,68,4786.9541015625,0.00012761112884618342
L28_to_L29,69,4657.3017578125,0.0001241548452526331
L28_to_L29,70,4551.8203125,0.00012134290591347963
L28_to_L29,71,4480.3876953125,0.00011943864228669554
L28_to_L29,72,4382.0048828125,0.00011681594332912937
L28_to_L29,73,4333.736328125,0.00011552919750101864
L28_to_L29,74,4292.80322265625,0.00011443800030974671
L28_to_L29,75,4277.83984375,0.00011403910320950672
L28_to_L29,76,4161.9296875,0.00011094915680587292
L28_to_L29,77,4109.52880859375,0.00010955225297948346
L28_to_L29,78,4014.61767578125,0.00010702209692681208
L28_to_L29,79,3968.341552734375,0.0001057884655892849
L28_to_L29,80,3961.3466796875,0.0001056019973475486
L28_to_L29,81,3874.25439453125,0.00010328028292860836
L28_to_L29,82,3851.158203125,0.00010266457684338093
L28_to_L29,83,3781.57421875,0.00010080960055347532
L28_to_L29,84,3712.529296875,9.896899427985772e-05
L28_to_L29,85,3635.73779296875,9.692188177723438e-05
L28_to_L29,86,3601.149658203125,9.599982149666175e-05
L28_to_L29,87,3577.6943359375,9.537454752717167e-05
L28_to_L29,88,3551.5205078125,9.467680501984432e-05
L28_to_L29,89,3451.250732421875,9.200380009133369e-05
L28_to_L29,90,3382.188232421875,9.016272815642878e-05
L28_to_L29,91,3373.352783203125,8.992719085654244e-05
L28_to_L29,92,3345.095947265625,8.917391824070364e-05
L28_to_L29,93,3333.30224609375,8.885952411219478e-05
L28_to_L29,94,3272.64013671875,8.72423843247816e-05
L28_to_L29,95,3242.517822265625,8.643938053864986e-05
L28_to_L29,96,3186.497802734375,8.494599023833871e-05
