consequence,layer,n,mean_delta_h,median_delta_h,std_delta_h
3utr,3,148,0.21622134745121002,0.21105018258094788,0.04440565034747124
3utr,4,148,0.29323819279670715,0.2783300280570984,0.09775972366333008
3utr,5,148,0.359950989484787,0.3350018262863159,0.14643050730228424
3utr,6,148,0.4942305386066437,0.44165822863578796,0.2734716832637787
3utr,7,148,0.6337229609489441,0.5267377495765686,0.4355352222919464
3utr,8,148,0.7181503176689148,0.5877083539962769,0.5041480660438538
3utr,9,148,0.9078552722930908,0.7863880395889282,0.6288620829582214
3utr,10,148,1.0516183376312256,0.9078400135040283,0.7583005428314209
3utr,11,148,1.2161388397216797,0.9987978935241699,0.9386314153671265
3utr,12,148,1.3105982542037964,1.047961950302124,1.016288161277771
3utr,13,148,1.4464948177337646,1.120340347290039,1.1304384469985962
3utr,14,148,1.566254734992981,1.218766450881958,1.231995701789856
3utr,15,148,1.6736873388290405,1.3201254606246948,1.2975497245788574
3utr,16,148,1.7954864501953125,1.4256820678710938,1.3870599269866943
3utr,17,148,1.9341059923171997,1.5087881088256836,1.497193694114685
3utr,18,148,2.0614449977874756,1.6042232513427734,1.5911214351654053
3utr,19,148,2.2214572429656982,1.7183996438980103,1.6647988557815552
3utr,20,148,2.5068001747131348,1.9929254055023193,1.758689045906067
3utr,21,148,2.8980894088745117,2.3849525451660156,1.9525163173675537
3utr,22,148,3.3305816650390625,2.857611894607544,2.128025770187378
3utr,23,148,3.7655951976776123,3.2849173545837402,2.5603983402252197
3utr,24,148,4.8724045753479,4.25740385055542,3.101139783859253
3utr,25,148,8.013716697692871,7.133302688598633,4.462878227233887
3utr,26,148,11.95105266571045,11.494697570800781,5.541973114013672
3utr,27,148,23.665491104125977,23.75798797607422,10.11571979522705
3utr,28,148,5026.7890625,3718.50244140625,3909.8515625
3utr,29,148,3653614.75,2488402.5,3105783.0
3utr,30,148,987588067328.0,607100731392.0,985719701504.0
3utr,31,148,987588067328.0,607100731392.0,985719701504.0
start_loss,0,34,0.15302899479866028,0.1497095674276352,0.01497890055179596
start_loss,1,34,0.17455270886421204,0.16761663556098938,0.01938055455684662
start_loss,2,34,0.19825735688209534,0.19406938552856445,0.02397914044559002
start_loss,3,34,0.22281630337238312,0.21314772963523865,0.04024073854088783
start_loss,4,34,0.3246852159500122,0.2946018576622009,0.09193389862775803
start_loss,5,34,0.41349485516548157,0.37649857997894287,0.12290047854185104
start_loss,6,34,0.6402214765548706,0.6005373001098633,0.2353559285402298
start_loss,7,34,0.9431899785995483,0.8284902572631836,0.4473276436328888
start_loss,8,34,1.0779787302017212,0.9329518675804138,0.5082364082336426
start_loss,9,34,1.3722609281539917,1.274449348449707,0.5929863452911377
start_loss,10,34,1.6486804485321045,1.6454331874847412,0.7043071985244751
start_loss,11,34,2.07427978515625,2.1487412452697754,0.9094313979148865
start_loss,12,34,2.278831720352173,2.384502410888672,0.9903910756111145
start_loss,13,34,2.602006196975708,2.812424659729004,1.1254104375839233
start_loss,14,34,2.9656248092651367,3.325779914855957,1.3224161863327026
start_loss,15,34,3.179431200027466,3.5375375747680664,1.3987808227539062
start_loss,16,34,3.4513466358184814,3.786498785018921,1.5320711135864258
start_loss,17,34,3.7080845832824707,4.095559120178223,1.6383466720581055
start_loss,18,34,3.9568777084350586,4.435789108276367,1.7641866207122803
start_loss,19,34,4.2237420082092285,4.741438865661621,1.8531016111373901
start_loss,20,34,4.620044231414795,5.089853286743164,1.9749512672424316
start_loss,21,34,5.080352306365967,5.456480979919434,2.1398684978485107
start_loss,22,34,5.5926923751831055,5.933048248291016,2.2640089988708496
start_loss,23,34,6.21917724609375,6.665594577789307,2.54906964302063
start_loss,24,34,7.407470226287842,7.903802871704102,2.8544702529907227
start_loss,25,34,10.697774887084961,11.645466804504395,3.348722457885742
start_loss,26,34,14.883252143859863,16.271888732910156,3.9800968170166016
start_loss,27,34,26.700590133666992,26.814022064208984,6.523046970367432
start_loss,28,34,6505.53662109375,5378.484375,3301.710205078125
start_loss,29,34,6050837.5,5630195.5,3326527.75
start_loss,30,34,1562181894144.0,1430188982272.0,816690495488.0
start_loss,31,34,1562181894144.0,1430188982272.0,816690495488.0
noncoding,0,374,0.15638288855552673,0.15698137879371643,0.015371995978057384
noncoding,1,374,0.18086197972297668,0.1779819130897522,0.02068222127854824
noncoding,2,374,0.20781385898590088,0.20160743594169617,0.03660936281085014
noncoding,3,374,0.22894851863384247,0.2199763059616089,0.048437852412462234
noncoding,4,374,0.3328476846218109,0.3085632026195526,0.11297915130853653
noncoding,5,374,0.4200595021247864,0.37897253036499023,0.16595427691936493
noncoding,6,374,0.6318227052688599,0.5341016054153442,0.35343819856643677
noncoding,7,374,0.8567425012588501,0.6505025625228882,0.5693246126174927
noncoding,8,374,0.971489429473877,0.7444425821304321,0.6495405435562134
noncoding,9,374,1.1814074516296387,0.9389593601226807,0.7619840502738953
noncoding,10,374,1.3799991607666016,1.0687007904052734,0.9435728788375854
noncoding,11,374,1.6015151739120483,1.2009177207946777,1.1449140310287476
noncoding,12,374,1.725544810295105,1.3229624032974243,1.2480818033218384
noncoding,13,374,1.9033631086349487,1.403518795967102,1.3939086198806763
noncoding,14,374,2.059223175048828,1.496877908706665,1.519708514213562
noncoding,15,374,2.176713466644287,1.610494613647461,1.596040964126587
noncoding,16,374,2.3251664638519287,1.7379553318023682,1.7176318168640137
noncoding,17,374,2.4613027572631836,1.8670806884765625,1.8301717042922974
noncoding,18,374,2.5883381366729736,1.9758450984954834,1.9289883375167847
noncoding,19,374,2.7479705810546875,2.166543960571289,2.0091562271118164
noncoding,20,374,3.0254664421081543,2.3957338333129883,2.108581066131592
noncoding,21,374,3.3945860862731934,2.6783013343811035,2.2787113189697266
noncoding,22,374,3.8272998332977295,3.052572250366211,2.408342123031616
noncoding,23,374,4.275918960571289,3.421898365020752,2.859246015548706
noncoding,24,374,5.406886577606201,4.503267288208008,3.4066379070281982
noncoding,25,374,8.56899356842041,7.743255138397217,4.6159586906433105
noncoding,26,374,12.634925842285156,12.023228645324707,5.742693901062012
noncoding,27,374,24.617647171020508,23.423141479492188,10.758891105651855
noncoding,28,374,5710.16455078125,4715.82568359375,4209.994140625
noncoding,29,374,4314123.0,3048878.5,3543490.0
noncoding,30,374,1232747364352.0,751985360896.0,1222335660032.0
noncoding,31,374,1232747364352.0,751985360896.0,1222335660032.0
