layer,PC,context,n,mean,std,ci_low,ci_high
20,4,intron,8000,-0.03551066294312477,0.5930182337760925,-0.04597560027614236,-0.022873138543218364
20,5,intron,8000,-0.006682871840894222,0.5844901204109192,-0.0203090428840369,0.005438583029899752
21,1,intron,8000,1.5429682731628418,15.728377342224121,1.219978603720665,1.8397247880697252
21,2,intron,8000,-0.00728291692212224,1.0172853469848633,-0.028739618184044958,0.012747202860191474
21,3,intron,8000,-0.034376706928014755,0.6547020077705383,-0.046538205444812776,-0.019937065942212936
21,4,intron,8000,-0.026599017903208733,0.5375351905822754,-0.0387084155343473,-0.014536060695536434
21,5,intron,8000,-0.009433026425540447,0.5307108163833618,-0.02128424420952797,0.0011129829217679833
22,1,intron,8000,1.8160892724990845,16.451618194580078,1.4578945696353913,2.1904636144638063
22,2,intron,8000,-0.007258834782987833,1.0867528915405273,-0.029863913590088487,0.019102619448676705
22,3,intron,8000,-0.03967437148094177,0.7110827565193176,-0.05569705283269286,-0.02289800071157514
22,4,intron,8000,-0.04298001527786255,0.6039009690284729,-0.0586781264282763,-0.02958044195547699
22,5,intron,8000,-0.003632514039054513,0.5570659637451172,-0.016750616580247877,0.008806797675788404
23,1,intron,8000,1.4268089532852173,14.851861000061035,1.0689187049865723,1.7405586808919906
23,2,intron,8000,-0.00155074882786721,1.030186653137207,-0.02314020413905382,0.01949370722286404
23,3,intron,8000,-0.030578242614865303,0.713240385055542,-0.04709807010367513,-0.01600535854231565
23,4,intron,8000,-0.03299437835812569,0.5893564224243164,-0.04501262633129954,-0.02249803179875016
23,5,intron,8000,-0.013892268761992455,0.5820245146751404,-0.02383394301868975,-0.0016629316058242684
24,1,intron,8000,0.01217974815517664,12.020613670349121,-0.1849906001240015,0.28279660493135456
24,2,intron,8000,0.009940236806869507,1.0886502265930176,-0.009805486747063696,0.03419978013262153
24,3,intron,8000,-0.006055766716599464,0.785641074180603,-0.024745057616382838,0.012505165790207684
24,4,intron,8000,-0.02289685048162937,0.6079840660095215,-0.036064977571368215,-0.011726027843542396
24,5,intron,8000,-0.0722394660115242,0.6734768152236938,-0.0859231673181057,-0.05712493089959025
25,1,intron,8000,-0.5700815916061401,11.455300331115723,-0.7946577578783035,-0.32819667756557463
25,2,intron,8000,0.007933937944471836,0.9101542234420776,-0.010508369095623494,0.026604459295049312
25,3,intron,8000,0.0017957639647647738,0.793758749961853,-0.019490825058892366,0.02027406939305365
