layer,class_id,class_name,f1,AUROC_ovr
23,0,intergenic,0.5643835616438356,0.8426963824289405
23,1,intron,0.5645879732739421,0.836625322997416
23,2,coding_exon,0.6252045826513911,0.861733204134367
23,3,5utr,0.7127003699136868,0.9543563671376971
23,4,3utr,0.708310700706138,0.9230616925064599
23,5,splice_donor,0.5563380281690141,0.9481957031037175
23,6,splice_acceptor,0.5586206896551724,0.9320005980861246
24,0,intergenic,0.6824324324324325,0.914281007751938
24,1,intron,0.6986607142857143,0.9173352713178295
24,2,coding_exon,0.7234273318872018,0.9236291989664084
24,3,5utr,0.8376068376068376,0.9872353628531821
24,4,3utr,0.8405797101449275,0.9754244186046511
24,5,splice_donor,0.5644599303135889,0.959833887244308
24,6,splice_acceptor,0.6153846153846154,0.9319273325358851
25,0,intergenic,0.6704225352112676,0.9042835917312663
25,1,intron,0.6607043040804919,0.8981892764857881
25,2,coding_exon,0.7001078748651565,0.9145381136950904
25,3,5utr,0.8186157517899761,0.982425867729207
25,4,3utr,0.8155759870200108,0.9670487726098191
25,5,splice_donor,0.5979381443298969,0.9542947774972911
25,6,splice_acceptor,0.6197183098591549,0.9472054425837321
26,0,intergenic,0.6438969764837627,0.8958562661498708
26,1,intron,0.6481069042316259,0.8941789405684754
26,2,coding_exon,0.6976998904709748,0.9094286175710595
26,3,5utr,0.8018979833926453,0.9808382262930357
26,4,3utr,0.790096878363832,0.9614725452196382
26,5,splice_donor,0.5993031358885017,0.9511816767460303
26,6,splice_acceptor,0.6549295774647887,0.9422966507177033
27,0,intergenic,0.6234498308906427,0.883437338501292
27,1,intron,0.6136865342163356,0.8765029069767444
27,2,coding_exon,0.6849615806805708,0.8996760335917313
27,3,5utr,0.8,0.9761478798787465
27,4,3utr,0.7718733225979603,0.9561666666666667
27,5,splice_donor,0.5795053003533569,0.9457742343618522
27,6,splice_acceptor,0.6713286713286714,0.936593899521531
28,0,intergenic,0.4642082429501085,0.7815820413436693
28,1,intron,0.4147368421052632,0.7580400516795867
28,2,coding_exon,0.5294490183660545,0.7816531007751938
28,3,5utr,0.5408163265306123,0.8897324053039926
28,4,3utr,0.5634882606612363,0.833280361757106
28,5,splice_donor,0.336,0.9031775723565129
28,6,splice_acceptor,0.3813559322033898,0.8972383373205742
29,0,intergenic,0.41345093715545755,0.7243104005167958
29,1,intron,0.2393721386527142,0.6356434108527131
29,2,coding_exon,0.4557344064386318,0.704469315245478
29,3,5utr,0.4175,0.8030737947835849
29,4,3utr,0.48789237668161434,0.7408204134366925
29,5,splice_donor,0.0,0.7679960530059509
29,6,splice_acceptor,0.012422360248447204,0.7806519138755981
30,0,intergenic,0.40824534942182,0.7128013565891472
30,1,intron,0.16139240506329114,0.6109767441860465
30,2,coding_exon,0.4455337690631808,0.6982109173126615
30,3,5utr,0.4122137404580153,0.7860397630089826
30,4,3utr,0.4776839565741858,0.7321527777777779
30,5,splice_donor,0.0,0.7484366392435331
30,6,splice_acceptor,0.0,0.7832057416267942
31,0,intergenic,0.40824534942182,0.7128013565891472
31,1,intron,0.16139240506329114,0.6109767441860465
31,2,coding_exon,0.4455337690631808,0.6982109173126615
31,3,5utr,0.4122137404580153,0.7860397630089826
31,4,3utr,0.4776839565741858,0.7321527777777779
31,5,splice_donor,0.0,0.7484366392435331
31,6,splice_acceptor,0.0,0.7832057416267942
