layer,metric,PC,spearman_r,p,n
6,M1_dir_refC,4,0.04828465986722824,2.6063486100526666e-32,60000
6,M1_dir_refC,5,0.0720981624991494,5.667962871886032e-70,60000
7,M1_dir_refC,1,-0.18141681645268457,0.0,60000
7,M1_dir_refC,2,-0.03771131648290215,2.4547987263969844e-20,60000
7,M1_dir_refC,3,0.0015790836808957747,0.6989138201292542,60000
7,M1_dir_refC,4,0.038244210035714196,7.177170237384101e-21,60000
7,M1_dir_refC,5,-0.06270210298453559,2.4601543677156582e-53,60000
8,M1_dir_refC,1,-0.11931062480300608,4.3995995402736206e-189,60000
8,M1_dir_refC,2,-0.05460243854461567,7.447934578527989e-41,60000
8,M1_dir_refC,3,-0.04060175533959501,2.5408207782953655e-23,60000
8,M1_dir_refC,4,0.03827821193560715,6.6317360592093594e-21,60000
8,M1_dir_refC,5,-0.11989751131078365,6.105359096638491e-191,60000
9,M1_dir_refC,1,-0.2625561925661812,0.0,60000
9,M1_dir_refC,2,-0.04736198361235272,3.773093890843e-31,60000
9,M1_dir_refC,3,0.009940457001584043,0.014895322398559913,60000
9,M1_dir_refC,4,0.07637568060117761,2.560485237537226e-78,60000
9,M1_dir_refC,5,-0.08978041021710244,1.3108899726744995e-107,60000
10,M1_dir_refC,1,-0.31383605327510455,0.0,60000
10,M1_dir_refC,2,-0.07064593773290867,2.997632925491227e-67,60000
10,M1_dir_refC,3,0.028582277306923812,2.514633311418332e-12,60000
10,M1_dir_refC,4,0.032609879264795964,1.3525127706404058e-15,60000
10,M1_dir_refC,5,0.09092507099730386,2.4832806305123034e-110,60000
11,M1_dir_refC,1,-0.2957219512039549,0.0,60000
11,M1_dir_refC,2,-0.07973711800552835,3.243096066766083e-85,60000
11,M1_dir_refC,3,0.033818408160965624,1.1713875453225145e-16,60000
11,M1_dir_refC,4,0.04739735958359448,3.4088342061768126e-31,60000
11,M1_dir_refC,5,0.09968297808273326,2.5514426441840052e-132,60000
12,M1_dir_refC,1,-0.2963476558947113,0.0,60000
12,M1_dir_refC,2,-0.07545173644611843,1.785650745199976e-76,60000
12,M1_dir_refC,3,0.020510096873525924,5.051378397275284e-07,60000
12,M1_dir_refC,4,0.04115150460392837,6.497083279555882e-24,60000
12,M1_dir_refC,5,0.06428889609677717,5.549256751753905e-56,60000
13,M1_dir_refC,1,-0.31679279781018943,0.0,60000
13,M1_dir_refC,2,-0.08207639164459579,3.422746628068361e-90,60000
13,M1_dir_refC,3,0.054702483743759855,5.34997147723833e-41,60000
13,M1_dir_refC,4,0.07114931812060464,3.4601076784736393e-68,60000
13,M1_dir_refC,5,0.09219199884193512,2.1925443402520915e-113,60000
14,M1_dir_refC,1,-0.31381527169716134,0.0,60000
14,M1_dir_refC,2,-0.07881337012347678,2.7303002329073502e-83,60000
14,M1_dir_refC,3,0.03981021253605596,1.753681021617401e-22,60000
14,M1_dir_refC,4,0.056858279269255234,3.703376796765192e-44,60000
