layer,metric,PC,spearman_r,p,n
25,M1_dir_refB,5,0.07172304890065519,2.898708950290809e-69,60000
26,M1_dir_refB,1,-0.5046251662914355,0.0,60000
26,M1_dir_refB,2,-0.006937841543901338,0.08924342492998696,60000
26,M1_dir_refB,3,-0.1896324444212698,0.0,60000
26,M1_dir_refB,4,-0.04986369302041863,2.3890969296581933e-34,60000
26,M1_dir_refB,5,0.0747930347720997,3.5667710221078544e-75,60000
27,M1_dir_refB,1,0.30224203909381026,0.0,60000
27,M1_dir_refB,2,0.0009653325928005354,0.8130816725106245,60000
27,M1_dir_refB,3,-0.26420742722588747,0.0,60000
27,M1_dir_refB,4,-0.13302261651160768,6.119521698350185e-235,60000
27,M1_dir_refB,5,0.17794387770867226,0.0,60000
28,M1_dir_refB,1,-0.1682221417717764,0.0,60000
28,M1_dir_refB,2,-0.04806497631516852,4.94756701992904e-32,60000
28,M1_dir_refB,3,-0.08324552870192632,9.834562615909334e-93,60000
28,M1_dir_refB,4,-0.09071751193545191,7.785575272417931e-110,60000
28,M1_dir_refB,5,0.027002256188883595,3.70941278806848e-11,60000
29,M1_dir_refB,1,-0.06415263135781187,9.421435371779174e-56,60000
29,M1_dir_refB,2,0.4451405866362356,0.0,60000
29,M1_dir_refB,3,0.2434955942471964,0.0,60000
29,M1_dir_refB,4,0.10361403319143944,7.402311995923633e-143,60000
29,M1_dir_refB,5,-0.3252886244675007,0.0,60000
30,M1_dir_refB,1,-0.15182288646677167,3.228140300658279e-306,60000
30,M1_dir_refB,2,0.07901730716523217,1.0306570066529418e-83,60000
30,M1_dir_refB,3,-0.03246370177072296,1.807576666420776e-15,60000
30,M1_dir_refB,4,0.05475349886329183,4.5183831583591924e-41,60000
30,M1_dir_refB,5,0.0792776717988274,2.960398863146601e-84,60000
31,M1_dir_refB,1,-0.15182288646677167,3.228140300658279e-306,60000
31,M1_dir_refB,2,0.07901730716523217,1.0306570066529418e-83,60000
31,M1_dir_refB,3,-0.03246370177072296,1.807576666420776e-15,60000
31,M1_dir_refB,4,0.05475349886329183,4.5183831583591924e-41,60000
31,M1_dir_refB,5,0.0792776717988274,2.960398863146601e-84,60000
0,M1_dir_refC,1,-0.09166646817954154,4.102014526135794e-112,60000
0,M1_dir_refC,2,0.05237325736155635,1.013235364421817e-37,60000
0,M1_dir_refC,3,0.05598429266539247,7.315750767325978e-43,60000
0,M1_dir_refC,4,0.06113557108643744,8.690386431682599e-51,60000
0,M1_dir_refC,5,-0.00739359480253478,0.07013458529987344,60000
1,M1_dir_refC,1,-0.1463199708330082,2.4324598591709683e-284,60000
1,M1_dir_refC,2,0.05820785513958535,3.377564317027619e-46,60000
1,M1_dir_refC,3,0.07246379157364455,1.1455061619989951e-70,60000
1,M1_dir_refC,4,0.061919742487038146,4.694394459868833e-52,60000
1,M1_dir_refC,5,0.031135238612078352,2.3798924708333884e-14,60000
2,M1_dir_refC,1,-0.10780088000104689,1.547394632836298e-154,60000
2,M1_dir_refC,2,0.0070348951771630145,0.0848567425991641,60000
2,M1_dir_refC,3,0.03916899087486911,8.159988991271436e-22,60000
2,M1_dir_refC,4,0.08447489946591524,1.9101083908774692e-95,60000
2,M1_dir_refC,5,-0.03615978175999534,8.000423681434356e-19,60000
3,M1_dir_refC,1,-0.7082525246350634,0.0,60000
3,M1_dir_refC,2,-0.062286373360818055,1.1842835070686915e-52,60000
3,M1_dir_refC,3,0.04076481473653193,1.6987318049789604e-23,60000
3,M1_dir_refC,4,0.12331068223018249,6.254127564968809e-202,60000
3,M1_dir_refC,5,-0.032847355699347,8.420610235053378e-16,60000
4,M1_dir_refC,1,-0.8488475027951434,0.0,60000
4,M1_dir_refC,2,-0.048390024872354866,1.9146047089764006e-32,60000
4,M1_dir_refC,3,0.057471027789540066,4.449287971490011e-45,60000
4,M1_dir_refC,4,0.12153499375408791,3.5726881250952926e-196,60000
4,M1_dir_refC,5,-0.013235466185929181,0.0011865724513598743,60000
5,M1_dir_refC,1,-0.3196218910671155,0.0,60000
5,M1_dir_refC,2,-0.018840114767825447,3.9275433825596255e-06,60000
5,M1_dir_refC,3,0.03579520320219871,1.776754674335857e-18,60000
5,M1_dir_refC,4,0.09327926276132553,4.850955743423281e-116,60000
5,M1_dir_refC,5,-0.08205787768846558,3.752589586509667e-90,60000
6,M1_dir_refC,1,-0.3149177559636031,0.0,60000
6,M1_dir_refC,2,-0.03494077815790009,1.1175361771057645e-17,60000
6,M1_dir_refC,3,0.05908191755039695,1.520299309572751e-47,60000
