cluster,layer,mean_dh_norm_2,mean_delta_cos,n
11,20,3.732212543487549,0.13031451404094696,1028
11,21,4.09467887878418,0.12633520364761353,1028
11,22,4.552393913269043,0.14521193504333496,1028
11,23,5.051155090332031,0.13383997976779938,1028
11,24,6.111419200897217,0.15439751744270325,1028
11,25,10.045933723449707,0.18393222987651825,1028
11,26,15.777300834655762,0.2711099088191986,1028
11,27,30.363401412963867,0.388791024684906,1028
11,28,6213.51416015625,0.2902388572692871,1028
11,29,6859770.5,0.1487133800983429,1028
11,30,1700070293504.0,0.14011800289154053,1028
11,31,1700070293504.0,0.14011800289154053,1028
12,0,0.1459566056728363,0.49322375655174255,912
12,1,0.1650947779417038,0.2872712016105652,912
12,2,0.19310884177684784,0.19829325377941132,912
12,3,0.22507722675800323,0.30200302600860596,912
12,4,0.3568459749221802,0.29436612129211426,912
12,5,0.5071632266044617,0.26516151428222656,912
12,6,0.9810345768928528,0.3287086486816406,912
12,7,1.4510704278945923,0.2578144371509552,912
12,8,1.6730306148529053,0.2599508762359619,912
12,9,2.0062484741210938,0.22209444642066956,912
12,10,2.5285494327545166,0.28064990043640137,912
12,11,2.949378490447998,0.25324636697769165,912
12,12,3.1942086219787598,0.27560386061668396,912
12,13,3.535641670227051,0.26322904229164124,912
12,14,3.677565097808838,0.2261076122522354,912
12,15,3.8278348445892334,0.2541780173778534,912
12,16,3.986503839492798,0.2223852127790451,912
12,17,4.215127944946289,0.22517268359661102,912
12,18,4.335421562194824,0.18296656012535095,912
12,19,4.516712188720703,0.20961320400238037,912
12,20,4.79131555557251,0.23054055869579315,912
12,21,5.222840785980225,0.2089373916387558,912
12,22,5.727499485015869,0.24924254417419434,912
12,23,6.527044773101807,0.21643514931201935,912
12,24,7.587660312652588,0.2064356952905655,912
12,25,11.485187530517578,0.22638240456581116,912
12,26,17.584903717041016,0.3370358645915985,912
12,27,31.739927291870117,0.40667402744293213,912
12,28,4736.2578125,0.2595384418964386,912
12,29,5789833.5,0.08850977569818497,912
12,30,1189901500416.0,0.06489585340023041,912
12,31,1189901500416.0,0.06489585340023041,912
13,0,0.14096598327159882,0.4778995215892792,340
13,1,0.16196434199810028,0.2761460244655609,340
13,2,0.18356361985206604,0.18571297824382782,340
13,3,0.20181149244308472,0.275704950094223,340
13,4,0.27437320351600647,0.20392024517059326,340
13,5,0.366066038608551,0.15718194842338562,340
13,6,0.5721555352210999,0.14600129425525665,340
13,7,0.7949775457382202,0.08676757663488388,340
13,8,0.9083289504051208,0.08391633629798889,340
13,9,1.116498351097107,0.0693846344947815,340
13,10,1.2982460260391235,0.0732121616601944,340
13,11,1.5008031129837036,0.06290283054113388,340
13,12,1.6153210401535034,0.0673261284828186,340
13,13,1.7599986791610718,0.06314800679683685,340
13,14,1.861989140510559,0.056976139545440674,340
13,15,1.970625400543213,0.0651661604642868,340
13,16,2.077547073364258,0.05985847860574722,340
13,17,2.203878164291382,0.06189144402742386,340
13,18,2.2991843223571777,0.05407654121518135,340
13,19,2.4355947971343994,0.062186386436223984,340
13,20,2.675041913986206,0.07082407176494598,340
13,21,2.975416421890259,0.06879371404647827,340
13,22,3.387622356414795,0.08541066944599152,340
13,23,3.8462162017822266,0.07857535779476166,340
13,24,4.767550468444824,0.0891803503036499,340
13,25,7.776235580444336,0.10899747908115387,340
13,26,12.272520065307617,0.17259745299816132,340
13,27,22.502260208129883,0.2310861051082611,340
13,28,3535.90966796875,0.11965471506118774,340
13,29,3444308.75,0.03514169156551361,340
13,30,790281519104.0,0.02460985817015171,340
13,31,790281519104.0,0.02460985817015171,340
14,0,0.14876459538936615,0.49280405044555664,630
14,1,0.16177494823932648,0.27915698289871216,630
14,2,0.17601174116134644,0.17922048270702362,630
14,3,0.18427836894989014,0.24556472897529602,630
14,4,0.23112843930721283,0.14762713015079498,630
14,5,0.305509090423584,0.08700840175151825,630
14,6,0.4314022362232208,0.07700517773628235,630
14,7,0.5860252380371094,0.04010218754410744,630
14,8,0.6728941798210144,0.035266973078250885,630
14,9,0.8321593999862671,0.029170699417591095,630
14,10,0.9164305925369263,0.028583966195583344,630
14,11,1.021694302558899,0.02404070273041725,630
14,12,1.0825031995773315,0.023994440212845802,630
14,13,1.145691990852356,0.02238503471016884,630
14,14,1.207802653312683,0.021236153319478035,630
14,15,1.2943300008773804,0.02387213706970215,630
14,16,1.3617949485778809,0.022404227405786514,630
14,17,1.4385844469070435,0.02419089712202549,630
14,18,1.5177479982376099,0.0228740144520998,630
14,19,1.656708002090454,0.027014462277293205,630
14,20,1.8631454706192017,0.031278181821107864,630
14,21,2.1000139713287354,0.032353926450014114,630
14,22,2.5076470375061035,0.04240800067782402,630
14,23,2.707758665084839,0.03863271698355675,630
14,24,3.5948362350463867,0.054051510989665985,630
14,25,7.045347213745117,0.09046562761068344,630
14,26,12.21230697631836,0.16096965968608856,630
14,27,26.457096099853516,0.28827932476997375,630
14,28,6347.71142578125,0.25702646374702454,630
14,29,6995637.0,0.1501418650150299,630
14,30,1749317451776.0,0.15274745225906372,630
14,31,1749317451776.0,0.15274745225906372,630
